Id,N_Victimas,Fecha_Siniestro,Hora,Lugar_Del_Hecho,Tipo_De_Calle,Comuna,Pos_X,Pos_Y,Victima,Acusado,Barrios,Rol,Sexo,Edad,Fecha_Fallecimiento,Semestre,Hora_Siniestro,Anio_Siniestro,Mes_Siniestro,Dia_Siniestro,Anio_Fallecimiento,Mes_Fallecimiento,Dia_Fallecimiento,Dia_Semana_Siniestro,Dia_Semana_Fallecimiento
2019-0039,1,2019-05-09,03:05:00,SAN PEDRITO AV. Y DIRECTORIO AV.,AVENIDA,7,-58.46749188,-34.63551751,Moto,Auto,"['Flores', 'Parque Chacabuco']",CONDUCTOR,MASCULINO,28,2019-05-09,1,3,2019,5,9,2019,5,9,jueves,jueves
2019-0040,1,2019-05-09,12:45:00,PUAN Y SANTANDER,CALLE,7,-58.4426358,-34.63679732,Moto,Sd,"['Flores', 'Parque Chacabuco']",CONDUCTOR,MASCULINO,44,2019-05-15,1,12,2019,5,9,2019,5,15,jueves,miÃ©rcoles
2019-0041,1,2019-05-11,20:30:00,"ALBERDI, JUAN BAUTISTA AV. Y ANDALGALA",AVENIDA,9,-58.51140289,-34.65846419,Auto,Multiple,"['Liniers', 'Mataderos', 'Parque Avellaneda']",PASAJERO_ACOMPAÑANTE,FEMENINO,78,2019-05-11,1,20,2019,5,11,2019,5,11,sÃ¡bado,sÃ¡bado
2019-0042,1,2019-05-14,15:00:00,LIMA Y CONSTITUCION,CALLE,1,-58.38211431,-34.62465368,Peaton,Pasajeros,"['Retiro', 'San Nicolás', 'Puerto Madero', 'San Telmo', 'Montserrat', 'Constitución']",PEATON,MASCULINO,39,2019-05-14,1,15,2019,5,14,2019,5,14,martes,martes
2019-0043,1,2019-05-21,09:00:00,"CORDOBA AV. Y MADERO, EDUARDO AV.",AVENIDA,1,-58.36951669,-34.59832047,Bicicleta,Cargas,"['Retiro', 'San Nicolás', 'Puerto Madero', 'San Telmo', 'Montserrat', 'Constitución']",CICLISTA,FEMENINO,42,2019-05-21,1,9,2019,5,21,2019,5,21,martes,martes
2019-0044,1,2019-05-27,12:45:00,BOEDO AV. 650,AVENIDA,5,-58.41635217,-34.62036547,Peaton,Moto,"['Almagro', 'Boedo']",PEATON,FEMENINO,77,2019-05-29,1,12,2019,5,27,2019,5,29,lunes,miÃ©rcoles
2019-0045,1,2019-06-03,07:27:00,DEL LIBERTADOR AV. Y REPUBLICA DE LA INDIA,AVENIDA,14,-58.41316147,-34.57579669,Moto,Cargas,['Palermo'],CONDUCTOR,MASCULINO,33,2019-06-03,1,7,2019,6,3,2019,6,3,lunes,lunes
2019-0046,1,2019-06-04,09:00:00,GRAL PAZ Y CABILDO,AVENIDA,13,-58.47617802,-34.53825652,Moto,Auto,"['Núñez', 'Belgrano', 'Colegiales']",PASAJERO_ACOMPAÑANTE,FEMENINO,26,2019-06-04,1,9,2019,6,4,2019,6,4,martes,martes
2019-0047,1,2019-06-06,10:00:00,CASEROS AV. 1700,AVENIDA,4,-58.38641783,-34.63330028,Peaton,Cargas,"['La Boca', 'Barracas', 'Parque Patricios', 'Nueva Pompeya']",PEATON,MASCULINO,76,2019-06-06,1,10,2019,6,6,2019,6,6,jueves,jueves
2019-0048,1,2019-06-07,07:00:00,AVELLANEDA AV. 1548,AVENIDA,6,-58.45322169,-34.62038137,Moto,Cargas,['Caballito'],CONDUCTOR,MASCULINO,32,2019-06-07,1,7,2019,6,7,2019,6,7,viernes,viernes
